quote,author,tags,tags_str,combined
Be yourself; everyone else is already taken.,Oscar Wilde,[],none,"Quote: ""Be yourself; everyone else is already taken."" by Oscar Wilde. Tags: none"
"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.",Marilyn Monroe,[],none,"Quote: ""I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best."" by Marilyn Monroe. Tags: none"
Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.,Albert Einstein,[],none,"Quote: ""Two things are infinite: the universe and human stupidity; and I'm not sure about the universe."" by Albert Einstein. Tags: none"
"So many books, so little time.",Frank Zappa,[],none,"Quote: ""So many books, so little time."" by Frank Zappa. Tags: none"
A room without books is like a body without a soul.,Marcus Tullius Cicero,[],none,"Quote: ""A room without books is like a body without a soul."" by Marcus Tullius Cicero. Tags: none"
"Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.",Bernard M. Baruch,[],none,"Quote: ""Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind."" by Bernard M. Baruch. Tags: none"
"You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.",William W. Purkey,[],none,"Quote: ""You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth."" by William W. Purkey. Tags: none"
You know you're in love when you can't fall asleep because reality is finally better than your dreams.,Dr. Seuss,[],none,"Quote: ""You know you're in love when you can't fall asleep because reality is finally better than your dreams."" by Dr. Seuss. Tags: none"
"You only live once, but if you do it right, once is enough.",Mae West,[],none,"Quote: ""You only live once, but if you do it right, once is enough."" by Mae West. Tags: none"
Be the change that you wish to see in the world.,Mahatma Gandhi,[],none,"Quote: ""Be the change that you wish to see in the world."" by Mahatma Gandhi. Tags: none"
In three words I can sum up everything I've learned about life: it goes on.,Robert Frost,[],none,"Quote: ""In three words I can sum up everything I've learned about life: it goes on."" by Robert Frost. Tags: none"
"If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.",J.K. Rowling,[],none,"Quote: ""If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals."" by J.K. Rowling. Tags: none"
Donâ€™t walk in front of meâ€¦ I may not followDonâ€™t walk behind meâ€¦ I may not leadWalk beside meâ€¦ just be my friend,Albert Camus,[],none,"Quote: ""Donâ€™t walk in front of meâ€¦ I may not followDonâ€™t walk behind meâ€¦ I may not leadWalk beside meâ€¦ just be my friend"" by Albert Camus. Tags: none"
"If you tell the truth, you don't have to remember anything.",Mark Twain,[],none,"Quote: ""If you tell the truth, you don't have to remember anything."" by Mark Twain. Tags: none"
